Date,vol_forecast
2000/11/7,19.21453251
2000/11/8,17.99088843
2000/11/9,19.2146368
2000/11/10,18.41907811
2000/11/13,22.29387139
2000/11/14,21.77465025
2000/11/15,23.91026167
2000/11/16,22.43475496
2000/11/17,22.21766192
2000/11/20,20.86471457
2000/11/21,22.23127717
2000/11/22,20.8210897
2000/11/24,22.24978112
2000/11/27,22.18211343
2000/11/28,20.88017527
2000/11/29,20.33007378
2000/11/30,19.12328493
2000/12/1,21.36917747
2000/12/4,19.96663136
2000/12/5,19.05095638
2000/12/6,27.50083727
2000/12/7,27.72236258
2000/12/8,26.07344825
2000/12/11,26.46000132
2000/12/12,24.95160708
2000/12/13,23.60695868
2000/12/14,22.5678116
2000/12/15,22.61407178
2000/12/18,24.50534016
2000/12/19,23.22386696
2000/12/20,22.97311442
2000/12/21,28.04235384
2000/12/22,26.43481508
2000/12/26,27.89040466
2000/12/27,26.22139324
2000/12/28,25.03391035
2000/12/29,23.41547174
2001/1/2,22.71292234
2001/1/3,26.68143207
2001/1/4,36.62732776
2001/1/5,34.61943362
2001/1/8,35.58814233
2001/1/9,33.1178176
2001/1/10,30.85477555
2001/1/11,29.13966114
2001/1/12,27.65580867
2001/1/16,26.04314674
2001/1/17,24.46407678
2001/1/18,22.83070885
2001/1/19,22.54362629
2001/1/22,21.20618002
2001/1/23,19.81635246
2001/1/24,19.76863443
2001/1/25,18.53558649
2001/1/26,17.64132872
2001/1/29,16.60034333
2001/1/30,15.96043168
2001/1/31,15.41457322
2001/2/1,14.91710433
2001/2/2,14.30313354
2001/2/5,16.8963512
2001/2/6,15.94362347
2001/2/7,15.03397505
2001/2/8,15.03118444
2001/2/9,14.663308
2001/2/12,15.88279865
2001/2/13,16.16863341
2001/2/14,16.0553927
2001/2/15,15.16998014
2001/2/16,14.87318202
2001/2/20,17.8039615
2001/2/21,19.51294034
2001/2/22,21.19452575
2001/2/23,19.85679862
2001/2/26,18.89321557
2001/2/27,19.99233515
2001/2/28,19.26524658
2001/3/1,19.88468487
2001/3/2,18.60171162
2001/3/5,17.77494374
2001/3/6,16.91510354
2001/3/7,16.70119854
2001/3/8,16.01004961
2001/3/9,15.07460878
2001/3/12,20.16633959
2001/3/13,31.27864855
2001/3/14,30.14593175
2001/3/15,31.78945639
2001/3/16,29.71959034
2001/3/19,29.92010078
2001/3/20,29.39009376
2001/3/21,30.70431785
2001/3/22,30.41833727
2001/3/23,28.43074838
2001/3/26,28.53219861
2001/3/27,27.21631404
2001/3/28,28.83116818
2001/3/29,30.33861108
2001/3/30,28.38848229
2001/4/2,27.02831402
2001/4/3,26.22809944
2001/4/4,31.49194144
2001/4/5,29.36764107
2001/4/6,36.0389782
2001/4/9,35.45590215
2001/4/10,33.22616957
2001/4/11,34.15216267
2001/4/12,31.79713647
2001/4/16,30.647873
2001/4/17,28.60288176
2001/4/18,27.16601048
2001/4/19,32.83270408
2001/4/20,31.24506557
2001/4/23,29.52291701
2001/4/24,28.84604725
2001/4/25,27.79850811
2001/4/26,27.23993967
2001/4/27,25.47612515
2001/4/30,25.04537144
2001/5/1,23.43250515
2001/5/2,23.01189277
2001/5/3,21.47765044
